1300 (0x514),ERROR_NOT_ALL_ASSIGNED,Not all privileges or groups referenced are assigned to the caller.
1301 (0x515),ERROR_SOME_NOT_MAPPED,Some mapping between account names and security IDs was not done.
1302 (0x516),ERROR_NO_QUOTAS_FOR_ACCOUNT,No system quota limits are specifically set for this account.
1303 (0x517),ERROR_LOCAL_USER_SESSION_KEY,No encryption key is available. A well-known encryption key was returned.
1304 (0x518),ERROR_NULL_LM_PASSWORD,The password is too complex to be converted to a LAN Manager password. The LAN Manager password returned is a NULL string.
1305 (0x519),ERROR_UNKNOWN_REVISION,The revision level is unknown.
1306 (0x51A),ERROR_REVISION_MISMATCH,Indicates two revision levels are incompatible.
1307 (0x51B),ERROR_INVALID_OWNER,This security ID may not be assigned as the owner of this object.
1308 (0x51C),ERROR_INVALID_PRIMARY_GROUP,This security ID may not be assigned as the primary group of an object.
1309 (0x51D),ERROR_NO_IMPERSONATION_TOKEN,An attempt has been made to operate on an impersonation token by a thread that is not currently impersonating a client.
1310 (0x51E),ERROR_CANT_DISABLE_MANDATORY,The group may not be disabled.
1311 (0x51F),ERROR_NO_LOGON_SERVERS,There are currently no logon servers available to service the logon request.
1312 (0x520),ERROR_NO_SUCH_LOGON_SESSION,A specified logon session does not exist. It may already have been terminated.
1313 (0x521),ERROR_NO_SUCH_PRIVILEGE,A specified privilege does not exist.
1314 (0x522),ERROR_PRIVILEGE_NOT_HELD,A required privilege is not held by the client.
1315 (0x523),ERROR_INVALID_ACCOUNT_NAME,The name provided is not a properly formed account name.
1316 (0x524),ERROR_USER_EXISTS,The specified account already exists.
1317 (0x525),ERROR_NO_SUCH_USER,The specified account does not exist.
1318 (0x526),ERROR_GROUP_EXISTS,The specified group already exists.
1319 (0x527),ERROR_NO_SUCH_GROUP,The specified group does not exist.
1320 (0x528),ERROR_MEMBER_IN_GROUP,Either the specified user account is already a member of the specified group  or the specified group cannot be deleted because it contains a member.
1321 (0x529),ERROR_MEMBER_NOT_IN_GROUP,The specified user account is not a member of the specified group account.
1322 (0x52A),ERROR_LAST_ADMIN,This operation is disallowed as it could result in an administration account being disabled deleted or unable to log on.
1323 (0x52B),ERROR_WRONG_PASSWORD,Unable to update the password. The value provided as the current password is incorrect.
1324 (0x52C),ERROR_ILL_FORMED_PASSWORD,Unable to update the password. The value provided for the new password contains values that are not allowed in passwords.
1325 (0x52D),ERROR_PASSWORD_RESTRICTION,Unable to update the password. The value provided for the new password does not meet the length complexity or history requirements of the domain.
1326 (0x52E),ERROR_LOGON_FAILURE,The user name or password is incorrect.
1327 (0x52F),ERROR_ACCOUNT_RESTRICTION,Account restrictions are preventing this user from signing in. For example: blank passwords aren't allowed sign-in times are limited or a policy restriction has been enforced.
1328 (0x530),ERROR_INVALID_LOGON_HOURS,Your account has time restrictions that keep you from signing in right now.
1329 (0x531),ERROR_INVALID_WORKSTATION,This user isn't allowed to sign in to this computer.
1330 (0x532),ERROR_PASSWORD_EXPIRED,The password for this account has expired.
1331 (0x533),ERROR_ACCOUNT_DISABLED,This user can't sign in because this account is currently disabled.
1332 (0x534),ERROR_NONE_MAPPED,No mapping between account names and security IDs was done.
1333 (0x535),ERROR_TOO_MANY_LUIDS_REQUESTED,Too many local user identifiers (LUIDs) were requested at one time.
1334 (0x536),ERROR_LUIDS_EXHAUSTED,No more local user identifiers (LUIDs) are available.
1335 (0x537),ERROR_INVALID_SUB_AUTHORITY,The subauthority part of a security ID is invalid for this particular use.
1336 (0x538),ERROR_INVALID_ACL,The access control list (ACL) structure is invalid.
1337 (0x539),ERROR_INVALID_SID,The security ID structure is invalid.
1338 (0x53A),ERROR_INVALID_SECURITY_DESCR,The security descriptor structure is invalid.
1340 (0x53C),ERROR_BAD_INHERITANCE_ACL,The inherited access control list (ACL) or access control entry (ACE) could not be built.
1341 (0x53D),ERROR_SERVER_DISABLED,The server is currently disabled.
1342 (0x53E),ERROR_SERVER_NOT_DISABLED,The server is currently enabled.
1343 (0x53F),ERROR_INVALID_ID_AUTHORITY,The value provided was an invalid value for an identifier authority.
1344 (0x540),ERROR_ALLOTTED_SPACE_EXCEEDED,No more memory is available for security information updates.
1345 (0x541),ERROR_INVALID_GROUP_ATTRIBUTES,The specified attributes are invalid or incompatible with the attributes for the group as a whole.
1346 (0x542),ERROR_BAD_IMPERSONATION_LEVEL,Either a required impersonation level was not provided or the provided impersonation level is invalid.
1347 (0x543),ERROR_CANT_OPEN_ANONYMOUS,Cannot open an anonymous level security token.
1348 (0x544),ERROR_BAD_VALIDATION_CLASS,The validation information class requested was invalid.
1349 (0x545),ERROR_BAD_TOKEN_TYPE,The type of the token is inappropriate for its attempted use.
1350 (0x546),ERROR_NO_SECURITY_ON_OBJECT,Unable to perform a security operation on an object that has no associated security.
1351 (0x547),ERROR_CANT_ACCESS_DOMAIN_INFO,Configuration information could not be read from the domain controller either because the machine is unavailable or access has been denied.
1352 (0x548),ERROR_INVALID_SERVER_STATE,The security account manager (SAM) or local security authority (LSA) server was in the wrong state to perform the security operation.
1353 (0x549),ERROR_INVALID_DOMAIN_STATE,The domain was in the wrong state to perform the security operation.
1354 (0x54A),ERROR_INVALID_DOMAIN_ROLE,This operation is only allowed for the Primary Domain Controller of the domain.
1355 (0x54B),ERROR_NO_SUCH_DOMAIN,The specified domain either does not exist or could not be contacted.
1356 (0x54C),ERROR_DOMAIN_EXISTS,The specified domain already exists.
1357 (0x54D),ERROR_DOMAIN_LIMIT_EXCEEDED,An attempt was made to exceed the limit on the number of domains per server.
